iter	Passed	Remaining
0	277	138296
1	433	107827
2	625	103551
3	826	102466
4	1011	100120
5	1219	100445
6	1434	101040
7	1651	101595
8	2085	113783
9	2259	110709
10	2439	108445
11	2624	106725
12	2792	104629
13	3002	104233
14	3198	103432
15	3382	102333
16	3521	100054
17	3683	98643
18	3846	97377
19	3980	95542
20	4142	94479
21	4278	92966
22	4413	91531
23	4583	90904
24	4749	90244
25	4889	89132
26	5060	88649
27	5205	87755
28	5373	87277
29	5546	86895
30	5739	86834
31	5914	86495
32	6083	86087
33	6277	86035
34	6464	85879
35	6646	85662
36	6816	85293
37	6979	84861
38	7124	84217
39	7257	83464
40	7421	83084
41	7560	82447
42	7731	82167
43	7819	81039
44	7981	80702
45	8061	79564
46	8169	78743
47	8313	78285
48	8466	77925
49	8649	77843
50	8842	77845
51	9024	77751
52	9224	77799
53	9367	77368
54	9564	77388
55	9637	76415
56	9736	75671
57	9847	75047
58	10009	74820
59	10149	74429
60	10271	73918
61	10460	73900
62	10608	73585
63	10686	72804
64	10884	72844
65	11049	72659
66	11109	71795
67	11168	70949
68	11211	70033
69	11355	69756
70	11497	69473
71	11654	69277
72	12046	70461
73	12206	70271
74	12361	70051
75	12437	69389
76	12559	68995
77	12664	68516
78	12783	68126
79	12932	67897
80	13003	67265
81	13219	67385
82	13260	66621
83	13347	66100
84	13377	65314
85	13540	65184
86	13710	65085
87	13843	64810
88	13888	64136
89	14030	63917
90	14066	63220
91	14219	63061
92	14302	62590
93	14343	61950
94	14437	61549
95	14568	61308
96	14634	60802
97	14673	60191
98	14735	59687
99	14882	59530
100	14972	59148
101	15114	58974
102	15247	58770
103	15373	58538
104	15525	58406
105	15625	58078
106	15851	58219
107	15902	57720
108	15957	57243
109	16203	57449
110	16381	57409
111	16448	56981
112	16631	56958
113	16749	56713
114	16812	56285
115	16984	56223
116	17058	55842
117	17172	55591
118	17369	55610
119	17426	55183
120	17642	55261
121	17691	54815
122	17795	54543
123	17863	54167
124	18052	54158
125	18189	53990
126	18225	53527
127	18384	53430
128	18463	53101
129	18509	52682
130	18586	52353
131	18656	52013
132	18836	51976
133	18955	51773
134	18996	51359
135	19026	50923
136	19060	50503
137	19093	50086
138	19320	50177
139	19557	50291
140	19745	50272
141	19956	50313
142	20142	50286
143	20340	50285
144	20514	50224
145	20648	50066
146	20803	49955
147	20866	49627
148	20979	49421
149	21143	49334
150	21237	49086
151	21440	49087
152	21650	49101
153	21944	49303
154	22126	49249
155	22322	49223
156	22423	48989
157	22556	48825
158	22782	48860
159	22955	48780
160	23193	48835
161	23415	48854
162	23686	48970
163	23888	48942
164	24067	48864
165	24207	48706
166	24377	48608
167	24519	48455
168	24676	48331
169	24852	48242
170	25004	48108
171	25098	47861
172	25232	47693
173	25359	47512
174	25579	47504
175	25766	47434
176	25923	47307
177	26102	47219
178	26231	47041
179	26360	46862
180	26469	46650
181	26632	46534
182	26722	46290
183	26915	46224
184	27028	46021
185	27238	45984
186	27378	45825
187	27580	45771
188	27789	45726
189	28018	45713
190	28288	45765
191	28528	45764
192	28670	45605
193	28779	45395
194	29008	45372
195	29193	45280
196	29362	45161
197	29515	45018
198	29654	44854
199	29868	44802
200	30155	44858
201	30366	44798
202	30530	44667
203	30663	44492
204	30902	44470
205	31009	44255
206	31159	44104
207	31346	44005
208	31435	43769
209	31615	43658
210	31783	43533
211	31972	43433
212	32136	43301
213	32253	43104
214	32411	42964
215	32594	42855
216	32776	42744
217	32963	42640
218	33077	42442
219	33233	42296
220	33415	42185
221	33526	41983
222	33678	41833
223	33836	41691
224	33996	41551
225	34139	41390
226	34316	41270
227	34508	41167
228	34662	41019
229	34763	40809
230	34903	40644
231	34995	40426
232	35140	40268
233	35268	40091
234	35422	39944
235	35515	39729
236	35677	39591
237	35842	39456
238	36046	39364
239	36233	39252
240	36355	39070
241	36459	38869
242	36605	38714
243	36702	38507
244	36829	38332
245	36942	38144
246	37018	37917
247	37184	37784
248	37334	37634
249	37456	37456
250	37607	37307
251	37775	37175
252	37961	37061
253	38135	36934
254	38285	36783
255	38488	36684
256	38739	36629
257	38904	36491
258	39068	36353
259	39221	36204
260	39446	36121
261	39566	35942
262	39732	35804
263	39922	35688
264	40102	35562
265	40268	35424
266	40480	35325
267	40673	35210
268	40858	35086
269	40998	34924
270	41152	34774
271	41318	34635
272	41462	34476
273	41636	34342
274	41786	34188
275	41977	34069
276	42127	33914
277	42322	33797
278	42464	33637
279	42610	33479
280	42797	33354
281	42953	33205
282	43143	33081
283	43313	32942
284	43476	32798
285	43673	32679
286	43797	32504
287	43929	32336
288	44103	32200
289	44325	32097
290	44543	31991
291	44762	31885
292	44868	31698
293	44980	31517
294	45108	31346
295	45285	31210
296	45467	31077
297	45632	30932
298	45757	30760
299	45920	30613
300	46067	30456
301	46227	30307
302	46410	30174
303	46572	30027
304	46687	29849
305	46780	29658
306	46869	29465
307	47052	29331
308	47191	29170
309	47323	29005
310	47456	28840
311	47564	28660
312	47726	28513
313	47855	28347
314	48036	28211
315	48173	28050
316	48307	27887
317	48512	27764
318	48735	27652
319	48933	27525
320	49114	27387
321	49239	27219
322	49327	27030
323	49419	26844
324	49511	26660
325	49596	26471
326	49707	26297
327	49898	26166
328	50031	26004
329	50159	25839
330	50353	25709
331	50510	25559
332	50657	25404
333	50791	25243
334	50993	25116
335	51186	24983
336	51297	24811
337	51411	24640
338	51531	24473
339	51659	24310
340	51822	24163
341	52020	24032
342	52207	23896
343	52329	23730
344	52438	23559
345	52602	23412
346	52753	23260
347	52860	23088
348	53000	22931
349	53161	22783
350	53349	22646
351	53512	22499
352	53654	22343
353	53820	22197
354	54005	22058
355	54152	21904
356	54268	21737
357	54389	21573
358	54567	21431
359	54697	21271
360	54794	21098
361	54949	20947
362	55099	20794
363	55254	20644
364	55929	20686
365	56139	20553
366	56358	20424
367	56511	20270
368	56658	20114
369	56819	19963
370	57012	19823
371	57133	19658
372	57257	19495
373	57381	19331
374	57545	19181
375	57750	19045
376	57957	18909
377	58087	18747
378	58239	18593
379	58440	18455
380	58577	18295
381	58744	18146
382	58949	18008
383	59136	17864
384	59280	17707
385	59466	17562
386	59700	17432
387	59826	17269
388	59970	17112
389	60171	16971
390	60309	16812
391	60497	16667
392	60639	16509
393	60839	16368
394	61009	16217
395	61211	16075
396	61367	15921
397	61656	15801
398	61797	15642
399	61992	15498
400	62239	15365
401	62388	15209
402	62636	15076
403	62875	14940
404	63097	14800
405	63398	14678
406	63593	14531
407	63727	14369
408	63938	14225
409	64163	14084
410	64354	13935
411	64539	13785
412	64696	13628
413	64817	13464
414	65074	13328
415	65306	13186
416	65483	13033
417	65687	12886
418	65873	12734
419	66032	12577
420	66209	12424
421	66365	12266
422	66559	12116
423	66688	11953
424	66879	11802
425	67083	11653
426	67216	11491
427	67376	11334
428	67571	11183
429	67717	11023
430	67917	10873
431	68003	10704
432	68190	10551
433	68400	10401
434	68602	10251
435	68793	10098
436	68951	9940
437	69101	9781
438	69299	9629
439	69460	9471
440	69643	9317
441	69761	9154
442	69963	9002
443	70100	8841
444	70236	8680
445	70431	8527
446	70636	8375
447	70776	8215
448	70919	8055
449	71108	7900
450	71247	7740
451	71393	7581
452	71611	7429
453	71792	7274
454	72072	7128
455	72235	6970
456	72480	6819
457	72705	6667
458	72882	6510
459	73023	6349
460	73188	6191
461	73325	6031
462	73490	5872
463	73680	5716
464	73883	5561
465	74113	5407
466	74393	5256
467	74550	5097
468	74744	4940
469	74910	4781
470	75141	4626
471	75341	4469
472	75502	4309
473	75680	4151
474	75842	3991
475	76002	3832
476	76189	3673
477	76392	3515
478	76562	3356
479	76734	3197
480	76844	3035
481	76962	2874
482	77093	2713
483	77245	2553
484	77481	2396
485	77649	2236
486	77809	2077
487	77927	1916
488	78129	1757
489	78271	1597
490	78412	1437
491	78574	1277
492	78745	1118
493	78897	958
494	79105	799
495	79259	639
496	79398	479
497	79526	319
498	79660	159
499	79752	0
